pred_Bio,pred_Bird,pred_SongB,pred_DGS,pred_Anth,pred_Bug,pred_Grous,pred_Airc,pred_Sil,Length,Anth,Bio,Geo,Sil,Auto,Airc,Bird,Bug,Wind,Rain,SongB,DGS,Grous,SeaB,ShorB,Mosq,Fly,start_date_time,end_date_time,set
12.196627,10.490923,3.1422782,-2.6312673,-3.6991246,-2.7471986,-2.1906607,-4.5773573,-14.871184,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-05-20T07:00:00.000000,2019-05-20T07:00:10.000000,test
15.092937,14.500169,5.174168,-1.7658548,-3.2765594,-3.190428,6.835516,-3.963459,-19.236313,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-05-20T07:00:10.000000,2019-05-20T07:00:20.000000,test
9.151713,8.539051,3.7085567,-1.9106367,-4.132827,-2.8459835,0.7960093,-4.9877334,-11.108947,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-05-20T07:00:20.000000,2019-05-20T07:00:30.000000,test
11.39179,10.765666,7.5861964,-3.2684474,-3.9273264,-3.016368,0.904444,-4.8322563,-13.900787,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:00:37.000000,2019-05-20T07:00:47.000000,test
13.950251,13.238266,10.452761,-3.0503418,-3.9220207,-2.9678183,3.503422,-4.634975,-16.985136,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-05-20T07:00:47.000000,2019-05-20T07:00:57.000000,test
11.044561,10.044023,6.22434,-2.1521287,-4.0861273,-3.1518383,-1.8914729,-4.9288635,-13.1697035,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:00:57.000000,2019-05-20T07:01:05.000000,test
9.185797,8.371305,6.1623797,-2.958999,-3.587369,-2.7571442,-1.2977688,-4.4526734,-11.147074,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:01:20.000000,2019-05-20T07:01:30.000000,test
9.805674,8.831168,5.714575,-2.613534,-3.9397001,-3.0124378,-1.8323851,-4.8326626,-11.804081,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:01:30.000000,2019-05-20T07:01:40.000000,test
17.8053,17.717043,-0.9893149,-2.3120427,-2.4927008,-4.850442,9.583566,-3.0869544,-23.497282,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-05-20T07:02:03.000000,2019-05-20T07:02:08.000000,test
12.7167,11.859459,8.993254,-2.4906254,-4.4903073,-3.3601546,0.25134516,-5.3430476,-15.441331,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:02:10.000000,2019-05-20T07:02:20.000000,test
10.434413,9.561872,6.7337847,-2.6869354,-4.0305257,-2.9173224,0.2818086,-4.8929486,-12.76864,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:02:20.000000,2019-05-20T07:02:30.000000,test
13.394228,11.550907,5.9058986,-2.420606,-3.943271,-2.6172915,-1.3492038,-4.751696,-16.163101,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:02:30.000000,2019-05-20T07:02:40.000000,test
9.442991,8.848785,7.577287,-2.9141772,-3.207973,-3.073932,-1.6362194,-4.043938,-11.477688,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:02:40.000000,2019-05-20T07:02:50.000000,test
12.979153,11.12439,4.1060476,-2.5876653,-3.9813898,-3.1464221,-2.6978493,-4.975458,-15.935322,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:02:50.000000,2019-05-20T07:03:00.000000,test
25.13157,25.878614,5.6296344,-3.2808454,-3.1251588,-6.368724,13.735689,-3.9254627,-32.890858,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20T07:03:00.000000,2019-05-20T07:03:10.000000,test
